"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7HCT5LM7","conferencePaper","2017","McDuff, Daniel; Thomas, Paul; Czerwinski, Mary; Craswell, Nick","Multimodal Analysis of Vocal Collaborative Search:A Public Corpus and Results","Proceedings of the 19th ACM International Conference on Multimodal Interaction","","","","","Intelligent agents have the potential to help with many tasks. Information seeking and voice-enabled search assistants are becoming very common. However, there remain questions as to the extent by which these agents should sense and respond to emotional signals. We designed a set of information seeking tasks and recruited participants to complete them using a human intermediary. In total we collected data from 22 pairs of individuals, each completing five search tasks. The participants could communicate only using voice, over a VoIP service. Using automated methods we extracted facial action, voice prosody and linguistic features from the audio-visual recordings. We analyzed the characteristics of these interactions that correlated with successful communication and understanding between the pairs. We found that those who were expressive in channels that were missing from the communication channel (e.g., facial actions and gaze) were rated as communicating poorly, being less helpful and understanding. Having a way of reinstating nonverbal cues into these interactions would improve the experience, even when the tasks are purely information seeking exercises. The dataset used for this analysis contains over 15 hours of video, audio and transcripts and reported ratings. It is publicly available for researchers at: http://aka.ms/MISCv1.","2017","2020-11-01 16:55:57","2020-11-01 17:03:45","","456–463","","","","","","Multimodal analysis of vocal collaborative search","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/GV3UJHR9/3136755.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UB2DMLS","journalArticle","2018","Samrose, Samiha; Zhao, Ru; White, Jeffery; Li, Vivian; Nova, Luis; Lu, Yichen; Ali, Mohammad Rafayet; Hoque, Mohammed Ehsan","Coco: Collaboration coach for understanding team dynamics during video conferencing","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","","","","","We present and discuss a fully-automated collaboration system, CoCo, that allows multiple participants to video chat and receive feedback through custom video conferencing software. After a conferencing session, a virtual feedback assistant provides insights on the conversation to participants. CoCo automatically pulls audial and visual data during conversations and analyzes the extracted streams for affective features, including smiles, engagement, attention, as well as speech overlap and turn-taking. We validated CoCo with 39 participants split into 10 groups. Participants played two back-to-back team-building games, Lost at Sea and Survival on the Moon, with the system providing feedback between the two. With feedback, we found a statistically significant change in balanced participation---that is, everyone spoke for an equal amount of time. There was also statistically significant improvement in participants' self-evaluations of conversational skills awareness, including how often they let others speak, as well as of teammates' conversational skills. The entire framework is available at https://github.com/ROC-HCI/CollaborationCoach_PostFeedback.","2018","2020-11-01 16:55:30","2020-11-01 17:02:04","","1–24","","4","1","","","Coco","","","","","","","","","","","","Google Scholar","","Publisher: ACM New York, NY, USA","","/Users/htk/Zotero/storage/KRBBSCI2/Samrose et al. - 2018 - Coco Collaboration coach for understanding team d.pdf; /Users/htk/Zotero/storage/Z9ZUMLX3/3161186.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT96ATFA","conferencePaper","2016","Pijeira-Díaz, Héctor J.; Drachsler, Hendrik; Järvelä, Sanna; Kirschner, Paul A.","Investigating collaborative learning success with physiological coupling indices based on electrodermal activity","Proceedings of the sixth international conference on learning analytics & knowledge","","","","","Collaborative learning is considered a critical 21st century skill. Much is known about its contribution to learning, but still investigating a process of collaboration remains a challenge. This paper approaches the investigation on collaborative learning from a psychophysiological perspective. An experiment was set up to explore whether biosensors can play a role in analysing collaborative learning. On the one hand, we identified five physiological coupling indices (PCIs) found in the literature: 1) Signal Matching (SM), 2) Instantaneous Derivative Matching (IDM), 3) Directional Agreement (DA), 4) Pearson's correlation coefficient (PCC) and the 5) Fisher's z-transform (FZT) of the PCC. On the other hand, three collaborative learning measurements were used: 1) collaborative will (CW), 2) collaborative learning product (CLP) and 3) dual learning gain (DLG). Regression analyses showed that out of the five PCIs, IDM related the most to CW and was the best predictor of the CLP. Meanwhile, DA predicted DLG the best. These results play a role in determining informative collaboration measures for designing a learning analytics, biofeedback dashboard.","2016","2020-11-01 16:55:05","2020-11-01 17:01:12","","64–73","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/TJH8JQ9F/Pijeira-Díaz et al. - 2016 - Investigating collaborative learning success with .pdf; /Users/htk/Zotero/storage/GRCR9HZ2/2883851.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JY5D3FK","journalArticle","2018","Cukurova, Mutlu; Luckin, Rose; Millán, Eva; Mavrikis, Manolis","The NISPI framework: Analysing collaborative problem-solving from students' physical interactions","Computers & Education","","","","","Collaborative problem-solving (CPS) is a fundamental skill for success in modern societies, and part of many common constructivist teaching approaches. However, its effective implementation and evaluation in both digital and physical learning environments are challenging for educators. This paper presents an original method for identifying differences in students' CPS behaviours when they are taking part in face-to-face practice-based learning (PBL). The dataset is based on high school and university students' hand position and head direction data, which can be automated deploying existing multimodal learning analytics systems. The framework uses Nonverbal Indexes of Students' Physical Interactivity (NISPI) to interpret the key parameters of students' CPS competence. The results show that the NISPI framework can be used to judge students' CPS competence levels accurately based on their non-verbal behaviour data. The findings have significant implications for design, research and development of educational technology.","2018","2020-11-01 16:54:44","2020-11-01 17:00:13","","93–109","","","116","","","The NISPI framework","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/htk/Zotero/storage/T4XRVCUM/Cukurova et al. - 2018 - The NISPI framework Analysing collaborative probl.pdf; /Users/htk/Zotero/storage/WYPLME4U/S0360131517301938.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EPCUNGB","journalArticle","2013","Schneider, Bertrand; Pea, Roy","Real-time mutual gaze perception enhances collaborative learning and collaboration quality","International Journal of Computer-supported collaborative learning","","","","","In this paper we present the results of an eye-tracking study on collaborative problem-solving dyads. Dyads remotely collaborated to learn from contrasting cases involving basic concepts about how the human brain processes visual information. In one condition, dyads saw the eye gazes of their partner on the screen; in a control group, they did not have access to this information. Results indicated that this real-time mutual gaze perception intervention helped students achieve a higher quality of collaboration and a higher learning gain. Implications for supporting group collaboration are discussed.","2013","2020-11-01 16:54:20","2020-11-01 16:59:18","","375–397","","4","8","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","/Users/htk/Zotero/storage/IN9SVHAH/s11412-013-9181-4.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUF336HX","conferencePaper","2019","Miura, Go; Okada, Shogo","Task-independent Multimodal Prediction of Group Performance Based on Product Dimensions","2019 International Conference on Multimodal Interaction","","","","","This paper proposes an approach to develop models for predicting the performance for multiple group meeting tasks, where the model has no clear correct answer. This paper adopts ”product dimensions” [Hackman et al. 1967] (PD) which is proposed as a set of dimensions for describing the general properties of written passages that are generated by a group, as a metric measuring group output. This study enhanced the group discussion corpus called the MATRICS corpus including multiple discussion sessions by annotating the performance metric of PD. We extract group-level linguistic features including vocabulary level features using a word embedding technique, topic segmentation techniques, and functional features with dialog act and parts of speech on the word level. We also extracted nonverbal features from the speech turn, prosody, and head movement. With a corpus including multiple discussion data and an annotation of the group performance, we conduct two types of experiments thorough regression modeling to predict the PD. The first experiment is to evaluate the task-dependent prediction accuracy, in the situation that the samples obtained from the same discussion task are included in both the training and testing. The second experiments is to evaluate the task-independent prediction accuracy, in the situation that the type of discussion task is different between the training samples and testing samples. In this situation, regression models are developed to infer the performance in an unknown discussion task. The experimental results show that a support vector regression model archived a 0.76 correlation in the discussion-task-dependent setting and 0.55 in the task-independent setting.","2019","2020-11-01 16:52:16","2020-11-01 16:52:55","","264–273","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/5KHD8824/3340555.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VZXB6NE","journalArticle","2019","Malmberg, Jonna; Järvelä, Sanna; Holappa, Jukka; Haataja, Eetu; Huang, Xiaohua; Siipo, Antti","Going beyond what is visible: What multichannel data can reveal about interaction in the context of collaborative learning?","Computers in Human Behavior","","","","","Progress in the development of technology has provided data-capturing devices that make it possible to identify detailed processes in collaborative learning. This study utilized multichannel data, namely physiological data, video observations, and facial recognition data, to explore what they can reveal about types of interaction and regulation of learning during different phases of collaborative learning progress. Participants were five groups of three members each, selected for further study from an initial set of 48 students. The collaborative task was to design a healthy breakfast for an athlete. Empatica sensors were used to capture episodes of simultaneous arousal, and video observations were used to contextualize working phases and types of interaction. Facial expression data were created by post-processing video-recorded data. The results show that simultaneous arousal episodes occurred throughout phases of collaborative learning and the learners presented the most negative facial expressions during the simultaneous arousal episodes. Most of the collaborative interaction during simultaneous arousal was low-level, and regulated learning was not observable. However, when the interaction was high-level, markers of regulated learning were present; when the interaction was confused, it included monitoring activities. This study represents an advance in testing new methods for the objective measurement of social interaction and regulated learning in collaborative","2019","2020-08-24 22:17:12","2020-11-01 16:51:29","","235–245","","","96","","","Going beyond what is visible","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/htk/Zotero/storage/BZ254G5A/Malmberg et al. - 2019 - Going beyond what is visible What multichannel da.pdf; /Users/htk/Zotero/storage/DVTEGF3C/S0747563218303078.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ETD7G9J","conferencePaper","2014","Grafsgaard, Joseph F.; Wiggins, Joseph B.; Vail, Alexandria Katarina; Boyer, Kristy Elizabeth; Wiebe, Eric N.; Lester, James C.","The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring","Proceedings of the 16th International Conference on Multimodal Interaction","","","","","","2014","2020-10-29 06:39:42","2020-10-29 06:42:12","","42-49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATIFCZQV","conferencePaper","2017","Viswanathan, Sree Aurovindh; Vanlehn, Kurt","High accuracy detection of collaboration from log data and superficial speech features","International Society of the Learning Sciences","","","","","","2017","2020-10-29 06:33:42","2020-10-29 06:34:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQ54E9J5","journalArticle","2013","Sanchez-Cortes, Dairazalia; Aran, Oya; Jayagopi, Dinesh Babu; Mast, Marianne Schmid; Gatica-Perez, Daniel","Emergent leaders through looking and speaking: from audio-visual data to multimodal recognition","Journal on Multimodal User Interfaces","","","","","","2013","2020-10-29 06:03:15","2020-10-29 06:30:29","","39-53","","7","1-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4NNITIR","conferencePaper","2018","Starr, Emma L.; Reilly, Joseph M.; Schneider, Bertrand","Toward Using Multi-Modal Learning Analytics to Support and Measure Collaboration in Co-Located Dyads","International Society of the Learning Sciences, Inc.[ISLS","","","","","","2018","2020-10-29 06:01:38","2020-10-29 06:03:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"564SESTJ","conferencePaper","2019","Sharma, Kshitij; Olsen, Jennifer","An Alternate Statistical Lens to Look at Collaboration Data: Extreme Value Theory","International Conference on Computer Supported Collaborative Learning","","","","","","2019","2020-10-29 05:59:25","2020-10-29 06:01:19","","400-407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
