id,paper_id_new,year,paper_title,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,metric_IG_specific,data_per_metric,outcome_new,outcome_instrument,outcome_smaller_category_new,outcome_larger_category_new,analysis_and_results mm-oo:analysis:resultsig,outcome -significance,test_type_standard,test_grouped,outcome_larger_category_corrected,metric_larger_category_corrected
11,11,2014,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring","II) Video
IV) Kinesiology
V) Log Data","II) Kinect
IV) Kinect
V) Own Application","II) Microsoft Kinect
IV) Microsoft Kinect
V) Javatutor","1) Dialogue Acts
2) Facial Expressions
3) Gesture
4) Task Actions","1) Verbal
2) Head
3) Body
4) Log Data","1) Speech Content
2) Facial Expressions
3) Hand Motion
4) Task-Related","1) Speech Content
2) Facial Expressions
3) Hand Motion
4) Task-Related","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) content_indiv
2) pure_indiv
3) pure_indiv
4) content_indiv","1) V
2) II
3) IV
4) V","a) engagement
B) frustration
c) learning gain","a) survey
B) survey
c) survey","a) engagement
B) affective
c) learning","a) process
B) process
c) product","1+2+3-A: regression: sig
1+2+3-B: regression: sig
1+2+3-C: regression: sig","a) 1
B) 1
c) 1","regression
regression
regression","correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) product","1) Verbal
2) Head
3) Body
4) Log Data"
12,12,2018,(Dis)Engagement Matters: Identifying efficacious Learning Practices with Multimodal Learning Analytics,"IV) Kinesiology
II) Video","IV) Kinect
II) Camera","IV) Microsoft Kinect
II) NS","1) Clustered Hand/Wrist Movement
2) Object Manipulation","1) Body
2) Log Data","1) Hand Motion
2) Task-Related","1) Hand Motion
2) Task-Related","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) II",a) learning gain,a) survey,a) learning,a) product,1-A: sup. machine learning: sig: (ACC: 76%),a) 1,machine learning,machine-learning,a) product,"1) Body
2) Log Data"
13,13,2017,Dual Gaze as a Proxy for Collaboration in Informal Learning,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii 1750
III) NS","1) (Not) Focused Together
2) Dialogue Episodes","1) Gaze
2) Verbal","1) Visual Attention
2) Speech Content","1) Visual Attention
2) Speech Content","1) Group
 2) Individual","1) synchro
2) content_indiv","1) I
2) III",a) level of understanding,a) human evaluation,a) learning,a) product,"1-A: ANOVA: sig: (F [1,16]=8.70)
1+2-A: ANOVA: sig: (F [1,61]=7.60)",a) 1,"ANOVA
ANOVA","between-group
between-group",a) product,"1) Gaze
2) Verbal"
14,14,2013,Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups,I) Eye Gaze,I) Eye Tracker,I) NS,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I,"a) learning gain
B) collaboration quality","a) learning test
B) human evaluation","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship","a) product
B) process","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1","regression
regression","correlation_regression
correlation_regression","a) product
B) process",1) Gaze
15,15,2011,Analysing frequent sequential patterns of collaborative learning activity around an interactive tabletop,V) Log Data,V) Interactive Tabletop,V) NS,1) Events,1) Log Data,1) Task-Related ,1) Task-Related ,1) Individual,1) content_indiv,1) V,a) group performance,a) human evaluation,a) performance,a) product,1-A: unsup. machine learning: sig,a) 1,machine learning,machine-learning,a) product,1) Log Data
16,16,2014,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,"I) Eye Gaze
V) Log Data","I) Eye Tracker
V) NS","I) Tobii X1
V) NS","1) Joint Visual Attention
2) N-Grams
3) Cosine Similarity Scores
4) Convergence Measures
5) Coherence Metrics","1) Gaze
2) Verbal
3) Verbal
4) Verbal
5) Verbal","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content
5) Speech Content","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content
5) Speech Content","1) Group
 2) Group
 3) Group
 4) Group
 5) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) synchro","1) I
2) V
3) V
4) V
5) V","a) learning gain
B) collaboration quality","a) learning test
B) human evaluation","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship","a) product
B) process","1,4-A: ANOVA: nonsig
1,4-B: ANOVA: nonsig
1,5-A: correlation: sig
2,3,4,5-A: sup. machine learning: 75%","a) 1/0
B)0","ANOVA
ANOVA
correlation
machine learning","between-group
between-group
correlation_regression
machine-learning","a) product
B) process","1) Gaze
2) Verbal
3) Verbal
4) Verbal
5) Verbal"
17,17,2016,Detecting Collaborative Dynamics Using Mobile Eye-Trackers,"I) Eye Gaze
II) Video
III) Audio","I) Eye Tracker
II) Camera
III) Microphone ","I) SMI (Eye- Tracking Glasses With Binocular Pupil Tracking At 30Hz)
II) NS
III) NS","1) Joint Visual Attention
2) Gestures
3) Speech Time","1) Gaze
2) Body
3) Verbal","1) Visual Attention
2) Hand Motion
3) Speech Participation","1) Visual Attention
2) Hand Motion
3) Speech Participation","1) Group
 2) Individual
 3) Individual","1) synchro
2) pure_indiv
3) pure_indiv","1) I
2) II
3) III","a) group performance
B) learning gain","a) human evaluation
B) learning test","a) performance
B) learning","a) product
B) product","1,2,3-B: qualitative: sig
1-B: correlation: sig","a) /
B) 1","qualitative
correlation","descriptive
correlation_regression","a) product
B) product","1) Gaze
2) Body
3) Verbal"
18,18,2013,Expertise estimation based on simple multimodal features,"II) Video
III) Audio
V) Log Data","II) Camera
III) Microphone
V) Digital Pen","II) NS
III) NS
V) NS","1) Calculator Use
2) Total Movement
3) Distance From The Center Of The Table
4) Number Of Interventions
5) Speech Time
6) Times Numbers Were Mentioned
7) Times Mathematical Terms Were Mentioned
8) Times Commands Were Pronounced
9) Total Number Of Pen Strokes
10) Average Number Of Points
11) Average Stroke Time Length
12) Average Stroke Path Length
13) Average Stroke Displacement
14) Average Stroke Pressure","1) Log Data
2) Body
3) Body
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Log Data
10) Log Data
11) Log Data
12) Log Data
13) Log Data
14) Log Data","1) Task-Related
2) Gross Body Motion
3) Location
4) Speech Participation
5) Speech Participation
6) Speech Content
7) Speech Content
8) Speech Content
9) Text
10) Text
11) Text
12) Text
13) Text
14) Text ","1) Task-Related
2) Gross Body Motion
3) Location
4) Speech Participation
5) Speech Participation
6) Speech Content
7) Speech Content
8) Speech Content
9) Text
10) Text
11) Text
12) Text
13) Text
14) Text ","1) Individual
 2) Individual
 3) Individual
 4) Group
 5) Individual
 6) Individual
 7) Individual
 8) Individual
 9) Individual
 10) Individual
 11) Individual
 12) Individual
 13) Individual
 14) Individual","1) object_indiv
2) pure_indiv
3) object_indiv
4) indiv_freq_in_group
5) pure_indiv
6) indiv_freq_in_group
7) indiv_freq_in_group
8) indiv_freq_in_group
9) object_indiv
10) object_indiv
11) object_indiv
12) object_indiv
13) object_indiv
14) object_indiv","1) II
2) II
3) II
4) III
5) III
6) III
7) III
8) III
9) V
10) V
11) V
12) V
13) V
14) V","a) task performance
B) expertise","a) human evaluation
B) human evaluation","a) performance
B) group composition","a) product
B) condition","1,2,3,4,5,6,7,8,9,10,11,12,13,14-A: regression: sig
1,2,3,4,5,6,7,8,9,10,11,12,13,14-B: sup. machine learning: sig","a)1
B) 1","regression
machine learning","correlation_regression
machine-learning","a) product
B) condition","1) Log Data
2) Body
3) Body
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Log Data
10) Log Data
11) Log Data
12) Log Data
13) Log Data
14) Log Data"
19,19,2015,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) Dev-Audio","1) Speaking Status
2) Pitch
3) Energy
4) Head Motion
5) Body Motion
6) Motion Energy Images
7) Gaze","1) Verbal
2) Verbal
3) Verbal
4) Head
5) Body
6) Body
7) Gaze","1) Speech Participation
2) Speech Features
3) Speech Features
4) Head Motion
5) Gross Body Motion
6) Gross Body Motion
7) Visual Attention","1) Speech Participation
2) Speech Features
3) Speech Features
4) Head Motion
5) Gross Body Motion
6) Gross Body Motion
7) Visual Attention","1) Group
 2) Individual
 3) Individual
 4) Individual
 5) Individual
 6) Individual
 7) Group","1) indiv_freq_in_group
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) pure_indiv
6) pure_indiv
7) synchro","1) III
2) III
3) III
4) II
5) II
6) II
7) II",a) personality ,a) survey,a) group composition,a) condition,"1,2,3,4,5,6,7-A: unsup. machine learning: (69.61%)",a) ,machine learning,machine-learning,a) condition,"1) Verbal
2) Verbal
3) Verbal
4) Head
5) Body
6) Body
7) Gaze"
20,20,2019,Dynamic Adaptive Gesturing Predicts Domain Expertise in Mathematics,"II) Video
III) Audio
V) Log Data","II) Camera
III) Microphone
V) Digital Pen And Digital Paper","II) Point Grey Scorpion Digital Firewire Cameras
III) Countryman Isomax Hyper-Cardioid Microphones
V) Nokia Digital Pens And Anoto Digital Paper","1) Total Manual Gestures Per Second
2) Iconic Gestures Per Second
3) Deictic Gestures Per Second","1) Body
2) Body
3) Body","1) Hand Motion
2) Hand Motion
3) Hand Motion","1) Hand Motion
2) Hand Motion
3) Hand Motion","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) II
2) II
3) II",a) expertise,a) human evaluation,a) group composition,a) condition,"1-A: Wilcoxon Signed Ranks test: sig
2-A: Wilcoxon Signed Ranks test: sig
3-A: Wilcoxon Signed Ranks test: nonsig",a) 1,"non-parametric tests
non-parametric tests
non-parametric tests","between-group
between-group
between-group",a) condition,"1) Body
2) Body
3) Body"
21,21,2013,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,"III) Audio
V) Log Data","III) Microphone
V) Interactive Tabletop","III) Dev-Audio
V) Collaid","1) Sequences Of Verbal Utterances
2) Sequences Of Meaningful Actions","1) Verbal
2) Log Data","1) Speech Content
2) Touch ","1) Speech Content
2) Touch ","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) III
2) V",a) collaboration quality,a) human evaluation,"
a) coordination
a) communication
a) engagement
a) interpersonal relationship",a) process,"1,2-A: unsup. machine learning: (90%)",a) 1,machine learning,machine-learning,a) process,"1) Verbal
2) Log Data"
22,22,2013,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction.,III) Audio,III) Microphone,III) NS,"1) Duration Of All Vocalisations
2) Average Duration Of Vocalisation
3) Standard Deviation Of Vocalisation
4) Probability Of A Transition From Floor To A Vocalisation
5) Probability Of A Transition From A Vocalisation To Floor
6) Probability Of Transitioning From A Group Vocalisation To Speaker Vocalisation
7) Probability Of Transitioning From A Speaker Vocalisation To A Group Vocalisation
8) Uncertainty In The Transitions Originating From A Speaker","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Participation
7) Speech Participation
8) Speech Participation","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Participation
7) Speech Participation
8) Speech Participation","1) Group
 2) Individual
 3) Individual
 4) Individual
 5) Individual
 6) Individual
 7) Individual
 8) Group","1) indiv_freq_in_group
2) pure_indiv
3) pure_indiv
4) complex_indiv
5) complex_indiv
6) complex_indiv
7) complex_indiv
8) group_cycle","1) III
2) III
3) III
4) III
5) III
6) III
7) III
8) III",a) expertise,a) task outcome,a) group composition,a) condition,"1,2,3,4,5,6,7,8-A: sup. machine learning: sig: (ACC: 92%)",a) 1,machine learning,machine-learning,a) condition,"1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal"
24,24,2020,Unpacking the relationship between existing and new measures of physiological synchrony and collaborative learning: a mixed methods study,"VI) EDA
III) Audio","VI) Smart Wristband
III) Microphone ","VI) Empatica (E4)
III) Microsoft Kinect","1) Physiological Synchrony (Pc)
2) Physiological Synchrony (Da)
3) Physiological Synchrony (Sm)
4) Physiological Synchrony (Idm)
5) Cycles Of Physiological Synchrony (Pc)","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) Group
 2) Group
 3) Group
 4) Group
 5) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) group_cycle","1) VI
2) VI
3) VI
4) VI
5) VI","a) collaboration quality
B) task performance
c) learning gain","a) human evaluation
B) task outcome
c) survey","
a) coordination
a) communication
a) engagement
a) interpersonal relationship
B) performance
c) learning","a) process
B) product
c) product","1-C: correlation: sig: r = 0.35
2-A: correlation: sig: r =0.47
5-A: correlation: sig: r = 0.57
5-C: correlation: sig: r = 0.47","a) 1
B) 1
c) 1","correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) product
c) product","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological"
25,25,2019,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,"III) Audio
II) Video
VI) EDA","III) Microphone
II) Web Camera
VI) Electrodes","III) NS
II) NS
VI) Shimmer 3 Gsr+","1) Speech Rate
2) Face And Upper Body Movement
3) Galvanic Skin Response","1) Verbal
2) Body
3) Physiological","1) Speech Features
2) Gross Body Motion
3) EDA","1) Speech Features
2) Gross Body Motion
3) EDA","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) III
2) II
3) VI","a) collaboration quality
B) perceived valence
c) perceived arousal
D) task performance","a) survey
B) survey
c) survey
D) task outcome","a) interpersonal relationship
B) affective
c) affective
D) performance","a) process
B) process
c) process
D) product","1+2+3-A: unsup. machine learning: nonsig
1+2+3-B: unsup. machine learning: nonsig
1+2+3-C: unsup. machine learning: nonsig
1+2+3-D: unsup. machine learning: nonsig","a) 0
B) 0
c) 0
D)0","machine learning
machine learning
machine learning
machine learning","machine-learning
machine-learning
machine-learning
machine-learning","a) process
B) process
c) process
D) product","1) Verbal
2) Body
3) Physiological"
26,26,2018,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,I) Eye Gaze,I) Eye Tracker,I) Tobii Glasses,"1) Joint Visual Attention
2) Cycles Of Collaborative / Individual Work","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention","1) Visual Attention
2) Visual Attention","1) Group
 2) Group","1) synchro
2) group_cycle","1) I
2) I","a) learning gain
B) collaboration quality
c) task performance","a) survey
B) human evaluation
c) task outcome","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) performance","a) product
B) process
c) product","1-B: correlation: sig: r = 0.341
2-B: correlation: sig: r = 0.347
2-A: correlation: sig: r = 0.398
2-C: correlation: sig: r = 0.355","a) 1
B) 1
c) 1","correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) process
c) product","1) Gaze
2) Gaze"
27,27,2010,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,"I) Eye Gaze
V) Log Data","I) Eye Tracker
V) Log Data","I) Tobii 1750
V) Tetris","1) Gaze Location
2) Gaze Saccades
3) Gaze Fixation
4) Player Actions
5) Zoid Acceleration","1) Gaze
2) Gaze
3) Gaze
4) Log Data
5) Log Data","1) Visual Attention
2) Eye Motion
3) Visual Attention
4) Task-Related
5) Task-Related ","1) Visual Attention
2) Eye Motion
3) Visual Attention
4) Task-Related
5) Task-Related ","1) Individual
 2) Individual
 3) Individual
 4) Individual
 5) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) pure_indiv","1) I
2) I
3) I
4) V
5) V",a) social context,a) assigned,a) group composition,a) condition,1+2+3+4+5-A: sup. machine learning: sig: (ACC:81.43%),a) 1,machine learning,machine-learning,a) condition,"1) Gaze
2) Gaze
3) Gaze
4) Log Data
5) Log Data"
28,28,2014,Acoustic-Prosodic Entrainment and Rapport in Collaborative Learning Dialogues,III) Audio,III) Microphone,III) NS,"1) Pitch
2) Intensity
3) Voice Quality
4) Speaking Rate
5) Proximity
6) Convergence
7) Synchrony","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal","1) Speech Features
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Speech Features","1) Speech Features
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Speech Features","1) Individual
 2) Individual
 3) Individual
 4) Individual
 5) Group
 6) Group
 7) Group","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) synchro
6) synchro
7) synchro","1) III
2) III
3) III
4) III
5) III
6) III
7) III",a) conversational features ,a) mixed - human evaluation & survey,a) communication,a) process,"5-A: correlation: mixed: (Max r 0.842)
6-A: correlation: mixed: (Max r 0.741)
7-A: correlation: mixed: (Max r 0.634)",a) 0/1,"correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression",a) process,"1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal"
29,29,2016,Can Eye Help You?: Effects of Visualizing Eye Fixations on Remote Collaboration Scenarios for Physical Tasks,I) Eye Gaze,I) Optical See-Through Head-Mounted Display,I) NS,1) Gaze Location,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) pure_indiv,1) I,"a) quality of remote collaboration
B) task completion time","a) survey
B) task outcome","a) performance
B) performance","a) product
B) product","1-A: Wilcoxon Signed Ranks test: sig
1-B: Wilcoxon Signed Ranks test: sig","a) 1
B) 1","non-parametric tests
non-parametric tests","between-group
between-group","a) product
B) product",1) Gaze
30,30,2016,Using Mobile Eye-Trackers to Unpack the Perceptual Benefits of a Tangible User Interface for Collaborative Learning,I) Eye Gaze,I) Eye Tracker,I) SMI,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I,"a) task performance
B) learning gain","a) computation
B) survey","a) performance
B) learning","a) product
B) product","1-A: correlation: sig: (r = 0.59)
1-B: correlation: sig: (r = 0.42)","a) 1
B) 1","correlation
correlation","correlation_regression
correlation_regression","a) product
B) product",1) Gaze
