ID updated,Paper_id_ new,,paper_id,coder,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,sample_size,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice
11,11,,17,steph,Can multimodal feature sets be used to predict whole-session retrospective self-reports of affect and learning gain within human-human tutoring ?,Model-building,This paper reports on the first study to investigate how multimodal feature sets can be used to predict whole-session retrospective self-reports of affect and learning gain within human-human tutoring,program in Java,NS,"The complete trimodal feature set was most predictive of each of the three tutoring outcomes, and bimodal features with dialogue were most predictive of each tutoring outcome. Importantly, the findings demonstrate that the role of nonverbal behavior may depend on the dialogue and task context in which it occurs",G=67; I=67,NS,ecological setting,Model/metric,We need a [better] way of measuring / detecting / predicting something,University; age 18.5,Future adaptive multimodal interfaces may leverage this detailed task-contextualized information to disambiguate affect and intervene effectively,NS
12,12,,18,steph,"RQ1: What are the different forms of gestural engagement in the context of a paired, hands-on learning experience?
RQ2: What are effective learning practices in the engineering design context?",Model-building,"The current paper builds on these ideas by taking a deeper look at different forms of gestural engagement in the context of a paired, hands-on learning experience. Furthermore, it leverages a combination of unsupervised and supervised machine learning algorithms to help draw inferences about effective learning practices from the engineering design context. ","Two engineering design tasks: 1) first task asked students to use one sheet of printer paper to construct a structure that could support one or more engineering textbooks at least three inches above a table 2)  In the second task students had 10 minutes to use one paper plate, two feet of tape, three wooden sticks and four straws to build a structure that could support a mass of 0.5 lb. as high off the table as possible",NS,"The combination of machine learning and human inference helps elucidate the practices that seem to correlate with student learning. In particular, both engagement and disengagement seem to correlate with student learning, albeit in a somewhat nuanced fashion","G=27, I=54",NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,University,"I argue that an intermediate model that leverages the affordances of multimodal data and computation, but leaves inference development to trained scholars could offer a viable alternative to purely qualitative or machine learning approaches.",NS
13,13,,19,bert,"Question 1: task level and task unit level: How does the level of understanding relate to the prevalence of different gaze episodes?
Question 2: task unit level: How do the types of gaze episodes relate to the types of dialogue episodes?
Question 3: task unit level and operation level: How do different dialogue episodes relate to the different gaze transitions?",Metric-construct connection,Validate new measure using gaze data across different temporal scales; describe gaze behavior of low- and high-understanding dyads in collaborative learning task,"read, understand, and explain functionality of a JAVA program.",NS,"There is a relationship between gaze (joint focus or not), dialogue indicators (task management, code description) at different time scales and participants' understanding of the program",G=16; I=32,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,University; age 18-29; gender distribution unknownn,NS,NS
14,14,,20,edwin,How does having access to partner's eye gaze affect quality of collaboration and learning gains?,Design,"Our goal is to develop new ways of supporting the establishment of perceptual joint attention (as opposed to cognitive, or social joint attention).","During the first 12 minutes, dyads worked on 5 contrasting cases in neuroscience. They had to collaboratively explain how visual information is processed by the human brain based on what they have learned from the models described in Figure 1. They then read a text on the same topic for 12 minutes. Finally, they answered a learning test with questions on the terminology used, concepts taught and questions in which they needed to transfer their knowledge to a new situation.","1) visible gaze
2) no gaze",Results indicate that this real-time mutual gaze perception intervention helped students achieve a higher quality of collaboration and a higher learning gain.,G=21; I=42,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,Unversity; age mean 23; male 14 female 28,"These results provide strong evidence for the important contributions of real-time mutual gaze perception—a special form of technology-mediated shared attention—to the learning gains and collaboration quality of collaborative learning groups. Additional qualitative observations suggest that our intervention helped students on four dimensions: by supporting coordination, creating conventions, sharing cognition and by making knowledge-building a collective process rather than an individual one.",NS
15,15,,21,edwin,"The data mining task we set out to solve is to discover sequences of interactions between group members and the data slips at the tabletop that were more frequent in high-achieving groups than in low-achieving ones, and vice-versa.",Model-building,This paper introduces a data mining approach that exploits the log traces of a problem-solving tabletop application to extract patterns of activity in order to shed light on the strategies followed by groups of learners.,"The task provided to the students is to solve a mystery with an open question in any subject such as mathematics, history, or physics. Students are given the question and a number of data slips which may hold direct clues for solving the mystery, background information, or even red-herrings. They are asked to analyse these to formulate their answer to the question.",NS,"We found that high achievers favoured the strategy of reading, minimising and arranging immediately (cluster 1 mean = 124.75, cluster 2 mean = 61.25). On the contrary, low achievers used both strategies for the information gathering, performing more actions contained in Cluster 2 in which they did not close the slips immediately after reading (cluster 1 mean = 104.40, cluster 2 mean = 114.80).",G=6; I=18,NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,Elementary school; age 11-14,The goal of this line of research is to offer adapted support to groups in the form of direct feedback to students or to their facilitator. The insights obtained in the work reported in this paper are the first steps towards such adapted support that machine learning techniques can offer to the use of tabletop devices.,An important goal of our work is to mirror useful information about groups to help facilitators and the students themselves to reflect on and improve their learning activity.
16,16,,22,edwin,"RQ1: Are there ways to characterize the effect of our intervention on students’ discourse?
RQ2: Is it possible to find markers of productive learning trajectories?
RQ3: Is it possible to find markers of constructive collaborations?",Model-building,The goals of this paper are to: 1) explore a variety of computational techniques for analyzing the transcripts of students’ discussions; 2) examine whether any of those measures sheds new light on our previous results; and 3) test whether those metrics have any predictive power regarding learning outcomes.,"The structure of the activity was as follows: in the first step, students analyzed brain diagrams (12 minutes); in a second step, they were asked to read a textbook chapter about human vision and discuss their understanding of this topic (12 minutes).","1) visible gaze
2) no gaze","Using various natural language processing algorithms, we found that linguistic coordination (i.e., the extent to which students mimic each other in terms of their grammatical structure) did not predict the quality of student collaboration or learning gains. However, we found that the coherence of students’ discourse was significantly different across our experimental conditions; this measure was positively correlated with their learning gains. Finally, using various language metrics, we were able to roughly (i.e., using a mediansplit) predict learning gains with a 94.4% accuracy using Support Vector Machine. The accuracy dropped to 75% when we used our model on a validation set.",G=21; I=42,real-time,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,Unversity; age mean 23; male 14 female 28,"This paper showed NLP approaches offer substantial promise for understanding educational datasets and automating currently unwieldy and time-consuming hand analyses. The measures described above could easily be applied to other settings, such as forums or online discussions.",NS
17,17,,24,edwin,"RQ1: To use dual eye-tracking data to understand how well-functioning dyads of students interact
RQ2: To use cross-recurrence graphs to guide qualitative analyses
RQ3: A foray into studying the variety of ways that students use to maintain high levels of joint visual attention.",Model-building,The goal of this paper is to illustrate how well-coordinated groups establish and sustain joint visual attention by unpacking their different strategies and behaviors.,"The system used in this study, the TinkerLamp, is shown on Figure 2: it features small-scale shelves that students can manipulate to design a warehouse layout. A camera detects their location using fiducial markers and a projector enhances the simulation with an augmented reality layer. The activity lasted an hour and the goal for students was to uncover good design principles for organizing warehouses. The core of this reflection involves understanding the trade-off between the amount of merchandise that can be stored in a warehouse and how quickly one can bring an item to a loading dock (i.e., a lot of shelves make it difficult to efficiently load/unload items, while few shelves limit the size of available stock).","1) 3D condition
2) 2D condition","We found that highly coordinated dyads (as measured by dual eye-trackers) were not necessarily the best learning groups. Augmented cross-recurrence graphs revealed imbalances in students’ verbal contributions, which are characteristic of the free-rider effect where one student does all the work while his/her partner stays passive.",G=27; I=54,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,Unversity; age mean 18.54,The implications of this work are that cross-recurrence graphs are highly valuable for distinguishing between productive and unproductive groups. But they should ideally be complemented with spatial and verbal information to provide a more refined representation of a group’s interactions.,NS
18,18,,25,edwin,How can expertise be estimated from simple multimodal features?,Model-building,The result of this processing is a set of simple features that could discriminate between experts and non-experts in groups of students solving mathematical problems.,"In each session, a group of 3 students worked together to solve a set of mathematics problems, each of which be- longed to a different difficulty level: easy, moderate, hard and very hard. The students of each group met and worked twice, in two separate sessions, to solve two distinct sets of problems. In each of these sessions, one of the students was assigned as the leader of the group in order to interact, on behalf of the other members, with a computer system that displayed the students the problems to solve and received the answers submitted.",NS,"The main finding is that several of those simple features, namely the percentage of time that the students use the calculator, the speed at which the student writes or draws and the percentage of time that the student mentions numbers or mathematical terms, are good discriminators between experts and non-experts students. Precision levels of 63% are obtained for individual problems and up to 80% when full sessions (aggregation of 16 problems) are analyzed.",G=12; I=18,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,High school,One important conclusion for the field of multimodal learning analytics is that good predictors were found in each one of the media analyzed.,NS
19,19,,26,edwin,How can a co-occurrent event mining framework from multiparty and multimodal interaction data be used to infer personality traits?,Model-building,"The goal is to find patterns between modalities and multiple people: segments of utterance, speech, gaze, head gestures and body gestures.",Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,"Experimental results show that the model trained with co-occurrence features obtained higher accuracy than previously related work in 8 out of 10 traits. In addition, the cooccurrence features improve the accuracy from 2% up to 17%.",G=27; I=102,NS,lab,Model/metric; Algorithm,We need a [better] way of measuring / detecting / predicting something,NS,"Our feature representation captures the interplay between the nonverbal behavior of an individual and her/his interactions, and can be used for feature extraction for other types of conversation (e.g. dyadic interaction).",NS
20,20,,27,edwin,Whether expertise in mathematics can be detected by analyzing students’ rate and type of manual gestures?,Scientific hypothesis testing,The aim and unique contribution of the present research are to investigate whether rate and type of gestures are predictive of students’ domain expertise in mathematics.,"During each session, 16 geometry and algebra problems were presented, four apiece representing easy, moderate, hard, and very hard difficulty levels.",NS,"The results reveal several unique findings, including that math experts reduced their total rate of gesturing by 50%, compared with non-experts. They also dynamically increased their rate of gesturing on harder problems. Although experts reduced their rate of gesturing overall, they selectively produced 62% more iconic gestures. Iconic gestures are strategic because they assist with retaining spatial information in working memory, so that inferences can be extracted to support correct problem solving.",G=12; I=18,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,High school; age 15-17; male 9 female 9,"The present results on representation-level gesture patterns are convergent with recent findings on signal-level handwriting, while also contributing a causal understanding of how and why experts adapt their manual activity during problem solving.","The long-term aim and societal contribution of this research is to recognize naturally occurring multimodal behaviors and communication patterns that can be used to identify domain experts, to predict an individual’s level of domain expertise, and to understand why they are critical predictors."
21,21,,28,edwin,"RQ1: Can we distinguish more collaborative from less collaborative groups by the interwoven stream of students’ verbal and physical participation?
RQ2: Can we distinguish more collaborative from less collaborative groups by extracting patterns of interaction based on just students’ verbal participation?
RQ3: Can we distinguish more collaborative from less collaborative groups based on patterns involving traces of interaction of students with others’ objects?
RQ4: Can we distinguish more collaborative from less collaborative groups in terms of the actions that follow up the access to others’ knowledge structures?",Model-building,"In this paper, we explored the potential of an enriched tabletop to automatically and unobtrusively capture data from collaborative interactions.",Concept mapping learning activity,NS,"We discovered that the less collaborative groups had a predomination of patterns with physical interactions, high levels of physical concurrency and greater parallelism than the more collaborative groups. By contrast, the more collaborative groups had more verbal discussions in conjunction with physical actions, especially in the brainstorming phase. They also showed less concurrency in the physical dimension and less parallelism. One of the most interesting findings for the less collaborative groups was the detection of patterns where a learner spoke briefly without getting response from other students. We found that the more collaborative groups had some interaction with others’ objects in the brainstorming phase but in the linking phase, the less collaborative groups interacted more with others’ objects.",G=20; I=60,NS,lab,Model/metric; Tool/Application,We need a [better] way of measuring / detecting / predicting something,NS,The contribution of this paper is an approach for analyzing students’ interactions around an enriched interactive tabletop that is validated through an empirical study that shows its operationalization to extract frequent patterns of collaborative activity.,"We envisage that our work provides a foundation for creating a system with three components:
1) the data capture system to track and gather data of group activity;
2) the data analytics component, which is based on careful design of the alphabets that are a basis for producing group indicators via statistical and data mining techniques; and
3) the data presentation component that aims to present to teachers, researchers or students with visual information or knowledge about the collaborative process but which implementation goes beyond the scope of this paper."
22,22,,32,callie,"1) identifying the domain expert among groups of three students working cooperatively on mathematical problem solving tasks and
2) inferring, from group interaction during a problem solving task, whether the group answered the question correctly or incorrectly.",Model-building,To see whether simple non-verbal speech interaction features can predict expertise and performance.,"Algebra and geometry problems (2 separate sessions per group). Each session consisted of 16 problem solving tasks, in which the students worked cooperatively and mentored one another.",NS,"The proposed Bayesian approach to expert prediction proved quite effective, reaching accuracy levels of over 92% with as few as 6 dialogues of training data. Performance prediction was not quite as effective.",G=6; I=18,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,age 15-17,NS,NS
23,23,,33,callie,What measures from TUI logs and kinect sensors can best predict students' learning gains?,Model-building,"Our goal with this paper is twofold: first, we introduced methods to compute meaningful measures from logs generated by a tangible interface and Kinect data; second, we correlated those measures with students’ learning gains to find relevant predictors of learning.",EarExplorer:  Students are asked to connect the tangibles between the starting point and the ending point to let sound waves reach the auditory cortex,1) discover; 2) listen,"First, we showed that information retrieval techniques could be used on the system’s logs to predict learning gains as measured by pre and post-tests. Second, we explored how Kinect data can inform the way we understand “in-situ” interactions around a tabletop: we found that the raw amount of movement was not a relevant predictor for our purposes; however, we found that bimanual coordination was predictive of students’ leadership in a group. We found that we were able to predict students’ learning gains (i.e., being above or belong the median split) with very high accuracy (using all measures)",G=19; I=38,NS,lab,Model/metric; Algorithm,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,age mean 22.5; University,Implement learning algorithm to capture data as students are working on a task and make just-in-time predictions minute by minute,NS
24,24,,39,bert,"– RQ1: Are measures of physiological synchrony (PC, DA, IDM, SM) significantly correlated with collaboration quality, task performance and learning gains?
– RQ2a: By looking at line graphs of physiological synchrony, can we relate events of interest to peaks (sharp increase), oscillations (jolt) and valleys (sharp decrease)?
– RQ2b: Do these observations vary between a high-performing and a low-performing group?
– RQ3: Based on RQ2a and RQ2b, can we define new measures of physiological synchro- ny – i.e., are cycles between low and high synchronization related to our three outcome measures?",Metric-construct connection; Observe learning,electrodermal activity (EDA) was used to identify markers of productive collaboration,Programming a robot to solve a series of mazes,Speech awareness tool vs no awareness tool,PC to be positively associated with learning gains (r = 0.35) and DA with collaboration quality (r = 0.3). We computed the number of cycles between low and high synchronization. We found this measure to be significantly correlated with collaboration quality (r = 0.57) and learning gains (r = 0.47). ,G=42; I=84,real-time,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X; We need a [better] way of measuring / detecting / predicting something,University pool; age 19-51,"Those results are encouraging, especially in the context of developing real-time, just-in- time, personalized feedback to students. There is some preliminary evidence that high- frequency data can indeed improve collaboration",We can imagine leveraging these measures to develop dashboards for teachers and aware- ness tools for students (Buder 2011) – which has not been explored for physiological data.
25,25,,40,edwin,"1) Do teams exhibit multimodal regularity?
2) How do individual measures constitute regularity?
3) How do features of the task affect regularity?
4) How does regularity change over time?
5) Regularity as a predictor of team performance",Model-building,Our goal is to understand multimodal patterns that emerge and their relation with collaborative outcomes.,"We used Physics Playground for our problem solving environment. Game levels require participants to guide a green ball to a red balloon by drawing simple machines (i.e., ramps, levers, pendulums, and springboards) using the mouse.",NS,"We found that teams exhibit significant regularity above chance baselines. Regularity was unaffected by task factors. but had a quadratic relationship with session time in that it initially increased but then decreased as the session progressed. Importantly, teams that produce more varied behavioral patterns (irregularity) reported higher emotional valence and performed better on a subset of the problem solving tasks. Regularity did not predict arousal or subjective perceptions of the collaboration.","G=101, I=303",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,Unversity; age 22; male 44 female 56,Measures of regularity could be used to aid machine learning models in predicting collaborative processes and outcomes.,"Our findings could be used to inform intelligent systems that monitor the quality of ongoing interactions and intervene when necessary. In particular, in the context of virtual interaction, regularity of low-level behaviors could be monitored in real-time in video conferencing software."
26,26,,41,bert,"1. JVA is associated with higher quality of collaboration; more specifically, JVA is associated with participants’ ability to sustain mutual understanding (Schneider & Pea, 2013).
2. The number of cycles of individual work (no-JVA) and collaborative interactions (JVA) is positively associated with the three outcome measures (collaboration, task performance, learning gains).",Metric-construct connection; Observe learning,"This paper provides three contributions: 1) I use an emerging methodology to capture joint visual attention in a co-located setting using mobile eye-trackers (Schneider & al., 2018); 2) I then replicate findings showing that levels of joint visual attention are positively correlated with collaboration quality; 3) finally, I present a new measure that captures cycles of collaborative / individual work, which is positively associated with learning gains (but not with collaboration quality).",Programming a robot to solve a series of mazes,Speech awareness tool vs no awareness tool,"joint visual attention is positively correlated with collaboration quality
measure that captures cycles of collaborative / individual work, which is positively associated with learning gains (but not with collaboration quality).",G=42; I=84,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X; We need a [better] way of measuring / detecting / predicting something,University pool; age 19-51,"The final and main contribution of this paper is a new measure that captures cycles of collaboration and individual work in dyads. This measure provides a complementary lens into collaborative processes: I found JVA to be positively associated with collaboration quality, and this new measure with learning gains (as well as task performance and collaboration quality, depending on the threshold used). This suggests that an important feature of successful collaborative learning groups is to balance individual cognition with group work. ","this study shows that it is possible to develop new ways of capturing 21st century skills in hands- on tasks typical of makerspaces. Even with the limitations mentioned above, this work makes a first step in this direction and opens the way to more rigorously studying collaborative processes in open-ended learning environments using dual mobile eye-trackers."
27,27,,42,steph,"1. Can you predict the social context of players from their eye-movement data?
2. How much are these predictions affected by missing gaze data, is it possible to improve the predictions by taking into account the quality level? ",Model-building,We investigate the automatic detection (or recognition) of pair composition using dual gaze-based as well as action-based multimodal features.,Tetris,"1) Novice-novice
2) Novice-expert
3) Expert-novice
4) Expert-expert","We have first shown that it is possible to differentiate four
difference social contexts given gaze and action features.","G=59, I=118",NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,NS,The long term goal of our work is to design adaptive gaze awareness tools that take the pair composition into account.,NS
28,28,,43,callie,"1. Does acoustic-prosodic entrainment exist in in human-human collaborative learning dialogues?
2. Can acoustic-prosodic entrainment can help us model the interaction between the two students by detecting the presence or absence of rapport?",Metric-construct connection,"The first goal is to identify whether there is evidence of acoustic-prosodic entrainment in human-human collaborative learning dialogues. The second goal, given that acoustic-prosodic entrainment is present, is to investigate whether acoustic-prosodic entrainment can help us model the interaction between the two students by detecting the presence or absence of rapport, one social factor of the interaction.",Math questions via the formative Assessment with Computation Technologies (FACT) application,NS,"Wefind that entrainment does correlate to rapport; speakers appear to entrain primarily by matching their prosody on a turn-by-turn basis, and pitch is the most signicant acoustic-prosodic feature people entrain on when rapport is present.",G=8; I=16,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,University; basic knowledge of algebra and geometry,,The results here suggest that increased focus on the prosodic features of pitch and voice quality may present an opportunity for further understanding and building an emotional connection with a virtual agent.; we can build systems which can support and provide interventions when we detect entrainment or a lack of entrainment on these features.
